config,witness_ms_mean,witness_ms_std,witness_ms_median,witness_ms_iqr,exec_ms_mean,exec_ms_std,exec_ms_median,exec_ms_iqr,prove_ms_mean,prove_ms_std,prove_ms_median,prove_ms_iqr,verify_ms_mean,verify_ms_std,verify_ms_median,verify_ms_iqr,proof_bytes_unique,proof_bytes
1,6.433333333333334,6.360889838712026,5.0,0.75,144.56666666666666,8.439167034126353,143.0,7.25,540.5666666666667,43.772675568632806,524.0,48.0,42.666666666666664,1.397863723152492,42.5,1.75,1,14212
2,5.366666666666666,0.6686751354593721,5.0,1.0,145.53333333333333,10.21403136776117,144.0,7.0,522.9,28.454864440809207,515.5,33.25,42.666666666666664,1.6045911141715081,42.5,1.0,1,14212
3,5.433333333333334,0.5683207771559354,5.0,1.0,147.16666666666666,17.18676983820009,142.0,7.5,554.0333333333333,57.18179317986073,544.5,35.75,43.93333333333333,4.6825673280380276,42.0,3.5,1,14212
4,5.8,0.6643638388299198,6.0,1.0,143.7,6.444190112566245,142.0,8.0,519.6666666666666,22.84329424478928,522.0,22.75,42.333333333333336,1.647010527641193,42.0,2.0,1,14212
5,6.2,0.5508613944197479,6.0,0.0,144.66666666666666,8.619678101571582,143.0,8.75,537.9666666666667,41.4874167323833,529.5,35.25,44.766666666666666,10.798094765962773,42.0,3.0,1,14212
